state,segment,profile,lon,lat,x,z,x_err,z_err,beach_width,slope,feature_type
1,33,701,-95.5594,28.7988,-66.6961,1.3989,999,0.0331,999,999,DT
1,33,701,-95.5589,28.7981,22.1709,0.37,0,999,88.867,0.0116,SL
1,33,702,-95.5594,28.7989,-84.1961,1.9082,999,0.0395,999,999,DC
1,33,702,-95.5593,28.7988,-69.1961,1.394,999,0.0299,999,999,DT
1,33,702,-95.5588,28.7981,21.8859,0.37,0.0718,999,91.0819,0.0112,SL
1,33,703,-95.5594,28.7992,-109.1961,2.2295,999,0.4808,999,999,DC
1,33,703,-95.5592,28.7989,-70.4461,1.3956,999,0.0766,999,999,DT
1,33,703,-95.5588,28.7982,21.9798,0.37,0.0753,999,92.4259,0.0111,SL
1,33,704,-95.5593,28.7992,-109.1961,2.6702,999,0.3331,999,999,DC
1,33,704,-95.5593,28.7991,-96.6961,1.7648,999,0.0804,999,999,DT
1,33,704,-95.5587,28.7982,22.7037,0.37,0.0245,999,119.3998,0.0117,SL
1,33,705,-95.5592,28.7993,-106.6961,2.4695,999,0.2393,999,999,DC
1,33,705,-95.5592,28.7992,-95.4461,1.7535,999,0.1994,999,999,DT
1,33,705,-95.5586,28.7982,23.8803,0.37,0.0117,999,119.3264,0.0116,SL
1,33,706,-95.5591,28.7993,-104.1961,2.3434,999,0.1821,999,999,DC
1,33,706,-95.559,28.799,-70.4461,1.4484,999,0.0792,999,999,DT
1,33,706,-95.5585,28.7983,24.4745,0.37,0.0371,999,94.9206,0.0114,SL
1,33,707,-95.559,28.7993,-104.1961,2.4039,999,0.248,999,999,DC
1,33,707,-95.5589,28.799,-67.9461,1.4042,999,0.0677,999,999,DT
1,33,707,-95.5584,28.7983,24.1302,0.37,0.0315,999,92.0763,0.0112,SL
1,33,708,-95.559,28.7994,-106.6961,2.724,999,0.3896,999,999,DC
1,33,708,-95.5589,28.7993,-96.6961,1.7519,999,0.0983,999,999,DT
1,33,708,-95.5583,28.7984,23.394,0.37,0.0042,999,120.0901,0.0115,SL
1,33,709,-95.5589,28.7995,-109.1961,3.0508,999,0.185,999,999,DC
1,33,709,-95.5588,28.7994,-97.9461,1.818,999,0.2537,999,999,DT
1,33,709,-95.5582,28.7984,22.7132,0.37,0.0437,999,120.6592,0.012,SL
1,33,710,-95.5588,28.7995,-111.6961,2.8472,999,0.3346,999,999,DC
1,33,710,-95.5587,28.7994,-97.9461,1.7627,999,0.3455,999,999,DT
1,33,710,-95.5581,28.7985,22.0894,0.37,0.0604,999,120.0354,0.0116,SL
