state,segment,profile,lon,lat,x,z,x_err,z_err,beach_width,slope,feature_type
1,41,1158,999,999,999,999,999,999,999,999,DT
1,41,1158,-95.0256,29.1489,-346.7133,0.37,0.03,999,999,999,SL
1,41,1159,999,999,999,999,999,999,999,999,DC
1,41,1159,999,999,999,999,999,999,999,999,DT
1,41,1159,-95.0255,29.149,-346.4852,0.37,0.0427,999,999,999,SL
1,41,1160,999,999,999,999,999,999,999,999,DC
1,41,1160,999,999,999,999,999,999,999,999,DT
1,41,1160,-95.0254,29.149,-345.9568,0.37,0.0143,999,999,999,SL
1,41,1161,999,999,999,999,999,999,999,999,DC
1,41,1161,999,999,999,999,999,999,999,999,DT
1,41,1161,-95.0253,29.1491,-345.1687,0.37,0.0148,999,999,999,SL
1,41,1162,-95.0257,29.1497,-422.5228,2.9683,999,0.2454,999,999,DC
1,41,1162,-95.0256,29.1496,-403.7728,1.8432,999,0.1982,999,999,DT
1,41,1162,-95.0253,29.1491,-344.638,0.37,0.0273,999,59.1348,0.0249,SL
1,41,1163,-95.0256,29.1497,-422.5228,3.0167,999,0.2522,999,999,DC
1,41,1163,-95.0255,29.1496,-403.7728,1.7493,999,0.2401,999,999,DT
1,41,1163,-95.0252,29.1492,-344.9296,0.37,0.034,999,58.8432,0.0234,SL
1,41,1164,-95.0256,29.1498,-422.5228,3.0956,999,0.4387,999,999,DC
1,41,1164,-95.0254,29.1496,-401.2728,1.5783,999,0.4654,999,999,DT
1,41,1164,-95.0251,29.1492,-345.8609,0.37,0.0371,999,55.4119,0.0218,SL
1,41,1165,-95.0255,29.1498,-422.5228,3.1543,999,0.3965,999,999,DC
1,41,1165,-95.0253,29.1497,-396.2728,1.3645,999,0.2729,999,999,DT
1,41,1165,-95.025,29.1493,-346.7166,0.37,0.0522,999,49.5562,0.0201,SL
1,41,1166,-95.0254,29.1499,-422.5228,3.1817,999,0.2323,999,999,DC
1,41,1166,-95.0252,29.1497,-396.2728,1.3824,999,0.1561,999,999,DT
1,41,1166,-95.0249,29.1493,-346.8853,0.37,0.0772,999,49.3875,0.0205,SL
1,41,1167,-95.0253,29.15,-422.5228,3.2691,999,0.1167,999,999,DC
1,41,1167,-95.0251,29.1498,-396.2728,1.3429,999,0.2083,999,999,DT
1,41,1167,-95.0249,29.1494,-347.5121,0.37,0.1059,999,48.7607,0.02,SL
1,41,1168,999,999,999,999,999,999,999,999,DC
1,41,1168,999,999,999,999,999,999,999,999,DT
1,41,1168,-95.0248,29.1495,-348.1207,0.37,0.1187,999,999,999,SL
1,41,1169,999,999,999,999,999,999,999,999,DC
1,41,1169,999,999,999,999,999,999,999,999,DT
1,41,1169,-95.0247,29.1495,-348.0578,0.37,0.0995,999,999,999,SL
1,41,1170,-95.025,29.1501,-420.0228,3.2815,999,0.253,999,999,DC
1,41,1170,-95.0249,29.15,-401.2728,1.6955,999,0.1192,999,999,DT
1,41,1170,-95.0246,29.1496,-346.674,0.37,0.071,999,54.5988,0.0243,SL
1,41,1171,-95.0249,29.1501,-417.5228,3.2493,999,0.1735,999,999,DC
1,41,1171,-95.0248,29.15,-398.7728,1.5466,999,0.2037,999,999,DT
1,41,1171,-95.0245,29.1496,-344.3301,0.37,0.0438,999,54.4427,0.0216,SL
1,41,1172,999,999,999,999,999,999,999,999,DC
1,41,1172,999,999,999,999,999,999,999,999,DT
1,41,1172,-95.0244,29.1496,-342.8413,0.37,0.0249,999,999,999,SL
1,41,1173,999,999,999,999,999,999,999,999,DC
1,41,1173,999,999,999,999,999,999,999,999,DT
1,41,1173,-95.0243,29.1497,-341.9228,0.37,0.0268,999,999,999,SL
1,41,1174,999,999,999,999,999,999,999,999,DC
1,41,1174,999,999,999,999,999,999,999,999,DT
1,41,1174,-95.0242,29.1497,-341.3356,0.37,0.0064,999,999,999,SL
1,41,1175,-95.0246,29.1504,-420.0228,2.9859,999,0.1325,999,999,DC
1,41,1175,-95.0245,29.1502,-396.2728,1.4921,999,0.1045,999,999,DT
1,41,1175,-95.0241,29.1498,-341.5141,0.37,0.0238,999,54.7587,0.0205,SL
1,41,1176,-95.0245,29.1504,-420.0228,2.997,999,0.1213,999,999,DC
1,41,1176,-95.0244,29.1503,-398.7728,1.6201,999,0.0891,999,999,DT
1,41,1176,-95.0241,29.1498,-341.7324,0.37,0.0218,999,57.0404,0.0219,SL
1,41,1177,999,999,999,999,999,999,999,999,DC
1,41,1177,999,999,999,999,999,999,999,999,DT
1,41,1177,-95.024,29.1499,-340.9289,0.37,0.0133,999,999,999,SL
1,41,1178,999,999,999,999,999,999,999,999,DC
1,41,1178,999,999,999,999,999,999,999,999,DT
1,41,1178,-95.0239,29.1499,-339.8439,0.37,0.0036,999,999,999,SL
1,41,1179,999,999,999,999,999,999,999,999,DC
1,41,1179,999,999,999,999,999,999,999,999,DT
1,41,1179,-95.0238,29.15,-338.3244,0.37,0.0068,999,999,999,SL
1,41,1180,999,999,999,999,999,999,999,999,DC
1,41,1180,999,999,999,999,999,999,999,999,DT
1,41,1180,-95.0237,29.15,-336.7607,0.37,0.0044,999,999,999,SL
1,41,1181,-95.0241,29.1506,-415.0228,3.317,999,0.3428,999,999,DC
1,41,1181,-95.024,29.1505,-398.7728,1.612,999,0.1455,999,999,DT
1,41,1181,-95.0236,29.1501,-335.6627,0.37,0.0187,999,63.1101,0.0197,SL
1,41,1182,-95.024,29.1507,-415.0228,3.5969,999,0.4474,999,999,DC
1,41,1182,-95.0239,29.1506,-398.7728,1.7416,999,0.3319,999,999,DT
1,41,1182,-95.0235,29.1501,-335.654,0.37,0.0305,999,63.1188,0.0217,SL
1,41,1183,999,999,999,999,999,999,999,999,DC
1,41,1183,999,999,999,999,999,999,999,999,DT
1,41,1183,-95.0235,29.1502,-336.6248,0.37,0.0229,999,999,999,SL
1,41,1184,-95.0239,29.1508,-417.5228,3.1944,999,0.3637,999,999,DC
1,41,1184,-95.0237,29.1507,-398.7728,1.8028,999,0.2106,999,999,DT
1,41,1184,-95.0234,29.1502,-338.1439,0.37,0.0133,999,60.6289,0.0236,SL
1,41,1185,-95.0238,29.1509,-417.5228,2.9709,999,0.214,999,999,DC
1,41,1185,-95.0237,29.1507,-398.7728,1.8186,999,0.2461,999,999,DT
1,41,1185,-95.0233,29.1503,-339.5004,0.37,0.0181,999,59.2724,0.0244,SL
1,41,1186,999,999,999,999,999,999,999,999,DC
1,41,1186,999,999,999,999,999,999,999,999,DT
1,41,1186,-95.0232,29.1504,-340.0545,0.37,0.0213,999,999,999,SL
1,41,1187,-95.0236,29.151,-415.0228,3.5275,999,0.4076,999,999,DC
1,41,1187,-95.0235,29.1508,-396.2728,1.7544,999,0.3239,999,999,DT
1,41,1187,-95.0231,29.1504,-339.917,0.37,0.0146,999,56.3558,0.0246,SL
1,41,1188,-95.0235,29.151,-415.0228,3.5486,999,0.245,999,999,DC
1,41,1188,-95.0234,29.1509,-396.2728,1.6932,999,0.2872,999,999,DT
1,41,1188,-95.0231,29.1505,-339.0802,0.37,0.0058,999,57.1926,0.0231,SL
1,41,1189,999,999,999,999,999,999,999,999,DC
1,41,1189,999,999,999,999,999,999,999,999,DT
1,41,1189,-95.023,29.1505,-337.7794,0.37,0.0217,999,999,999,SL
1,41,1190,-95.0233,29.1511,-415.0228,3.5773,999,0.2427,999,999,DC
1,41,1190,-95.0232,29.151,-398.7728,1.9307,999,0.2211,999,999,DT
1,41,1190,-95.0229,29.1505,-337.6355,0.37,0.0155,999,61.1373,0.0255,SL
1,41,1191,-95.0233,29.1512,-415.0228,3.5916,999,0.2529,999,999,DC
1,41,1191,-95.0232,29.151,-398.7728,1.9685,999,0.2493,999,999,DT
1,41,1191,-95.0228,29.1506,-338.8189,0.37,0.0325,999,59.9539,0.0267,SL
1,41,1192,-95.0232,29.1512,-417.5228,3.4736,999,0.2708,999,999,DC
1,41,1192,-95.0231,29.1511,-398.7728,1.8844,999,0.1579,999,999,DT
1,41,1192,-95.0227,29.1507,-340.2266,0.37,0.0127,999,58.5462,0.0259,SL
1,41,1193,-95.0231,29.1513,-417.5228,3.4892,999,0.2005,999,999,DC
1,41,1193,-95.023,29.1512,-398.7728,1.8889,999,0.1613,999,999,DT
1,41,1193,-95.0226,29.1507,-341.3526,0.37,0.0249,999,57.4202,0.0265,SL
1,41,1194,-95.023,29.1513,-417.5228,3.2614,999,0.3039,999,999,DC
1,41,1194,-95.0229,29.1512,-396.2728,1.86,999,0.1149,999,999,DT
1,41,1194,-95.0226,29.1508,-341.8653,0.37,0.0226,999,54.4075,0.0274,SL
1,41,1195,-95.0229,29.1514,-415.0228,3.2051,999,0.1781,999,999,DC
1,41,1195,-95.0228,29.1512,-396.2728,1.8691,999,0.1094,999,999,DT
1,41,1195,-95.0225,29.1508,-341.4619,0.37,0.0129,999,54.8109,0.0274,SL
1,41,1196,-95.0228,29.1514,-415.0228,3.2744,999,0.2146,999,999,DC
1,41,1196,-95.0227,29.1513,-396.2728,1.7947,999,0.2293,999,999,DT
1,41,1196,-95.0224,29.1509,-340.5895,0.37,0.0094,999,55.6834,0.0256,SL
1,41,1197,-95.0228,29.1515,-417.5228,3.5034,999,0.2973,999,999,DC
1,41,1197,-95.0226,29.1513,-395.0228,1.707,999,0.1356,999,999,DT
1,41,1197,-95.0223,29.1509,-340.0455,0.37,0.0172,999,54.9773,0.0243,SL
1,41,1198,-95.0227,29.1516,-417.5228,3.5432,999,0.2043,999,999,DC
1,41,1198,-95.0226,29.1514,-395.0228,1.6726,999,0.094,999,999,DT
1,41,1198,-95.0222,29.151,-339.6845,0.37,0.0067,999,55.3383,0.0235,SL
1,41,1199,-95.0226,29.1516,-415.0228,3.4634,999,0.3418,999,999,DC
1,41,1199,-95.0225,29.1515,-396.2728,1.7235,999,0.2052,999,999,DT
1,41,1199,-95.0221,29.151,-339.2456,0.37,0.0049,999,57.0273,0.0237,SL
1,41,1200,-95.0225,29.1516,-415.0228,3.499,999,0.3159,999,999,DC
1,41,1200,-95.0224,29.1515,-393.7728,1.6098,999,0.2375,999,999,DT
1,41,1200,-95.022,29.1511,-338.3327,0.37,0.0041,999,55.4401,0.0224,SL
1,41,1201,-95.0224,29.1517,-415.0228,3.3471,999,0.2422,999,999,DC
1,41,1201,-95.0223,29.1515,-393.7728,1.6541,999,0.153,999,999,DT
1,41,1201,-95.022,29.1511,-336.6839,0.37,0.0075,999,57.0889,0.0225,SL
1,41,1202,-95.0224,29.1518,-417.5228,3.4069,999,0.1889,999,999,DC
1,41,1202,-95.0222,29.1516,-396.2728,1.8351,999,0.2384,999,999,DT
1,41,1202,-95.0219,29.1512,-335.2951,0.37,0.0001,999,60.9777,0.024,SL
1,41,1203,-95.0223,29.1518,-417.5228,3.3505,999,0.226,999,999,DC
1,41,1203,-95.0221,29.1517,-396.2728,1.8808,999,0.2297,999,999,DT
1,41,1203,-95.0218,29.1512,-335.187,0.37,0.0079,999,61.0858,0.0247,SL
1,41,1204,-95.0222,29.1519,-415.0228,3.1938,999,0.1789,999,999,DC
1,41,1204,-95.022,29.1517,-393.7728,1.7595,999,0.1661,999,999,DT
1,41,1204,-95.0217,29.1513,-336.0229,0.37,0.0021,999,57.7499,0.0241,SL
1,41,1205,-95.0221,29.1519,-415.0228,3.4193,999,0.3214,999,999,DC
1,41,1205,-95.022,29.1518,-393.7728,1.7304,999,0.1582,999,999,DT
1,41,1205,-95.0216,29.1513,-337.1514,0.37,0.004,999,56.6214,0.024,SL
1,41,1206,-95.022,29.152,-415.0228,3.6754,999,0.3244,999,999,DC
1,41,1206,-95.0219,29.1518,-393.7728,1.6649,999,0.2316,999,999,DT
1,41,1206,-95.0215,29.1514,-338.0716,0.37,0.004,999,55.7012,0.0232,SL
1,41,1207,-95.0219,29.152,-412.5228,3.8537,999,0.3198,999,999,DC
1,41,1207,-95.0218,29.1518,-388.7728,1.3391,999,0.1299,999,999,DT
1,41,1207,-95.0215,29.1515,-338.3355,0.37,0.0104,999,50.4374,0.0192,SL
1,41,1208,-95.0218,29.152,-412.5228,3.8362,999,0.2758,999,999,DC
1,41,1208,-95.0218,29.152,-401.2728,2.2999,999,0.2837,999,999,DT
1,41,1208,-95.0214,29.1515,-337.7888,0.37,0.0044,999,63.484,0.0304,SL
1,41,1209,-95.0217,29.1521,-410.0228,3.5647,999,0.2901,999,999,DC
1,41,1209,-95.0217,29.152,-401.2728,2.3196,999,0.2898,999,999,DT
1,41,1209,-95.0213,29.1515,-337.1095,0.37,0.0017,999,64.1633,0.0304,SL
1,41,1210,-95.0216,29.1521,-410.0228,3.3663,999,0.2068,999,999,DC
1,41,1210,-95.0215,29.152,-391.2728,1.4952,999,0.2532,999,999,DT
1,41,1210,-95.0212,29.1516,-336.9879,0.37,0.009,999,54.285,0.0207,SL
1,41,1211,-95.0216,29.1522,-410.0228,3.3506,999,0.2674,999,999,DC
1,41,1211,-95.0215,29.1521,-393.7728,1.674,999,0.1835,999,999,DT
1,41,1211,-95.0211,29.1517,-336.7961,0.37,0.0088,999,56.9767,0.0229,SL
1,41,1212,-95.0215,29.1522,-410.0228,3.3238,999,0.3467,999,999,DC
1,41,1212,-95.0214,29.1521,-393.7728,1.645,999,0.2224,999,999,DT
1,41,1212,-95.021,29.1517,-336.7083,0.37,0.0081,999,57.0645,0.0223,SL
1,41,1213,-95.0214,29.1523,-410.0228,3.0898,999,0.3874,999,999,DC
1,41,1213,-95.0213,29.1522,-396.2728,1.8547,999,0.2403,999,999,DT
1,41,1213,-95.021,29.1518,-336.9027,0.37,0.0216,999,59.3701,0.025,SL
1,41,1214,-95.0213,29.1523,-407.5228,3.0808,999,0.2608,999,999,DC
1,41,1214,-95.0212,29.1522,-396.2728,1.8187,999,0.1834,999,999,DT
1,41,1214,-95.0209,29.1518,-336.8791,0.37,0.0281,999,59.3937,0.0244,SL
1,41,1215,-95.0212,29.1524,-410.0228,3.4062,999,0.4541,999,999,DC
1,41,1215,-95.0211,29.1523,-396.2728,1.8087,999,0.2422,999,999,DT
1,41,1215,-95.0208,29.1519,-336.2743,0.37,0.0327,999,59.9985,0.024,SL
1,41,1216,-95.0211,29.1525,-410.0228,3.7122,999,0.3498,999,999,DC
1,41,1216,-95.0211,29.1523,-396.2728,1.8564,999,0.2134,999,999,DT
1,41,1216,-95.0207,29.1519,-334.9196,0.37,0.0093,999,61.3532,0.0242,SL
1,41,1217,-95.0211,29.1525,-410.0228,3.6702,999,0.259,999,999,DC
1,41,1217,-95.021,29.1524,-396.2728,1.9544,999,0.2184,999,999,DT
1,41,1217,-95.0206,29.1519,-333.6966,0.37,0.0118,999,62.5762,0.0253,SL
1,41,1218,-95.021,29.1526,-410.0228,3.4493,999,0.2804,999,999,DC
1,41,1218,-95.0209,29.1524,-393.7728,1.6918,999,0.1634,999,999,DT
1,41,1218,-95.0205,29.152,-333.3884,0.37,0.0044,999,60.3844,0.0219,SL
1,41,1219,-95.0209,29.1526,-410.0228,3.255,999,0.2388,999,999,DC
1,41,1219,-95.0208,29.1525,-393.7728,1.7836,999,0.1034,999,999,DT
1,41,1219,-95.0204,29.152,-333.0909,0.37,0.0014,999,60.6819,0.0233,SL
1,41,1220,-95.0208,29.1527,-415.0228,3.2943,999,0.4567,999,999,DC
1,41,1220,-95.0207,29.1525,-391.2728,1.569,999,0.272,999,999,DT
1,41,1220,-95.0203,29.1521,-332.1129,0.37,0.0037,999,59.1599,0.0203,SL
1,41,1221,-95.0208,29.1528,-415.0228,3.4631,999,0.3805,999,999,DC
1,41,1221,-95.0206,29.1526,-393.7728,1.7672,999,0.1986,999,999,DT
1,41,1221,-95.0203,29.1521,-331.371,0.37,0.0042,999,62.4018,0.0224,SL
1,41,1222,-95.0207,29.1528,-412.5228,3.2832,999,0.368,999,999,DC
1,41,1222,-95.0205,29.1526,-393.7728,1.7316,999,0.332,999,999,DT
1,41,1222,-95.0202,29.1522,-331.2916,0.37,0.0028,999,62.4812,0.0218,SL
1,41,1223,-95.0206,29.1528,-410.0228,3.4266,999,0.2129,999,999,DC
1,41,1223,-95.0205,29.1527,-391.2728,1.5602,999,0.1846,999,999,DT
1,41,1223,-95.0201,29.1522,-331.7866,0.37,0.0044,999,59.4862,0.02,SL
1,41,1224,-95.0205,29.1529,-407.5228,3.3801,999,0.2103,999,999,DC
1,41,1224,-95.0204,29.1527,-391.2728,1.5884,999,0.2114,999,999,DT
1,41,1224,-95.02,29.1523,-332.2115,0.37,0.0259,999,59.0613,0.0206,SL
1,41,1225,-95.0204,29.1529,-407.5228,3.3155,999,0.175,999,999,DC
1,41,1225,-95.0203,29.1528,-391.2728,1.6211,999,0.1928,999,999,DT
1,41,1225,-95.0199,29.1524,-331.9665,0.37,0.0201,999,59.3063,0.0211,SL
1,41,1226,-95.0203,29.1529,-405.0228,3.3903,999,0.1073,999,999,DC
1,41,1226,-95.0202,29.1528,-391.2728,1.6447,999,0.2411,999,999,DT
1,41,1226,-95.0198,29.1524,-331.0129,0.37,0.0213,999,60.2599,0.0212,SL
1,41,1227,-95.0202,29.153,-405.0228,3.4121,999,0.1213,999,999,DC
1,41,1227,-95.0201,29.1529,-391.2728,1.6741,999,0.2392,999,999,DT
1,41,1227,-95.0197,29.1524,-329.9116,0.37,0.0183,999,61.3612,0.0213,SL
1,41,1228,-95.0201,29.1531,-410.0228,3.4223,999,0.17,999,999,DC
1,41,1228,-95.02,29.1529,-391.2728,1.7053,999,0.2322,999,999,DT
1,41,1228,-95.0197,29.1525,-329.571,0.37,0.0181,999,61.7018,0.0216,SL
1,41,1229,-95.0201,29.1531,-410.0228,3.4863,999,0.1661,999,999,DC
1,41,1229,-95.02,29.153,-391.2728,1.7558,999,0.123,999,999,DT
1,41,1229,-95.0196,29.1526,-330.0012,0.37,0.0313,999,61.2716,0.0226,SL
1,41,1230,-95.02,29.1532,-410.0228,3.5742,999,0.2393,999,999,DC
1,41,1230,-95.0199,29.1531,-391.2728,1.7714,999,0.1705,999,999,DT
1,41,1230,-95.0195,29.1526,-330.7272,0.37,0.0345,999,60.5456,0.0231,SL
1,41,1231,-95.0199,29.1532,-407.5228,3.623,999,0.2264,999,999,DC
1,41,1231,-95.0198,29.1531,-391.2728,1.7484,999,0.2603,999,999,DT
1,41,1231,-95.0194,29.1527,-330.7835,0.37,0.0224,999,60.4893,0.0228,SL
1,41,1232,-95.0198,29.1533,-407.5228,3.642,999,0.2246,999,999,DC
1,41,1232,-95.0197,29.1532,-391.2728,1.8953,999,0.2311,999,999,DT
1,41,1232,-95.0193,29.1527,-330.3574,0.37,0.009,999,60.9154,0.025,SL
1,41,1233,-95.0197,29.1533,-407.5228,3.5895,999,0.3284,999,999,DC
1,41,1233,-95.0196,29.1532,-391.2728,2.091,999,0.3843,999,999,DT
1,41,1233,-95.0192,29.1528,-330.1936,0.37,0.0061,999,61.0792,0.0282,SL
1,41,1234,-95.0196,29.1534,-407.5228,3.2865,999,0.3489,999,999,DC
1,41,1234,-95.0195,29.1533,-391.2728,1.971,999,0.3822,999,999,DT
1,41,1234,-95.0192,29.1528,-330.3654,0.37,0.0028,999,60.9074,0.0263,SL
1,41,1235,-95.0195,29.1534,-407.5228,3.2513,999,0.3103,999,999,DC
1,41,1235,-95.0194,29.1532,-378.7728,1.2934,999,0.0942,999,999,DT
1,41,1235,-95.0191,29.1529,-330.6761,0.37,0.0051,999,48.0967,0.0192,SL
1,41,1236,-95.0195,29.1535,-407.5228,3.4506,999,0.2682,999,999,DC
1,41,1236,-95.0194,29.1534,-388.7728,1.6893,999,0.188,999,999,DT
1,41,1236,-95.019,29.1529,-331.0304,0.37,0.0052,999,57.7424,0.0228,SL
1,41,1237,-95.0194,29.1535,-407.5228,3.3691,999,0.2634,999,999,DC
1,41,1237,-95.0193,29.1534,-391.2728,1.7942,999,0.2136,999,999,DT
1,41,1237,-95.0189,29.153,-331.4236,0.37,0.0287,999,59.8492,0.0238,SL
1,41,1238,-95.0193,29.1536,-407.5228,3.3159,999,0.1532,999,999,DC
1,41,1238,-95.0192,29.1535,-388.7728,1.6034,999,0.1761,999,999,DT
1,41,1238,-95.0188,29.153,-331.8215,0.37,0.0206,999,56.9513,0.0217,SL
1,41,1239,-95.0192,29.1536,-407.5228,3.392,999,0.1422,999,999,DC
1,41,1239,-95.0191,29.1535,-388.7728,1.6212,999,0.1408,999,999,DT
1,41,1239,-95.0188,29.1531,-332.1816,0.37,0.0179,999,56.5912,0.0221,SL
1,41,1240,999,999,999,999,999,999,999,999,DC
1,41,1240,999,999,999,999,999,999,999,999,DT
1,41,1240,-95.0187,29.1532,-332.613,0.37,0.0259,999,999,999,SL
1,41,1241,-95.019,29.1538,-407.5228,3.467,999,0.1809,999,999,DC
1,41,1241,-95.0189,29.1536,-388.7728,1.6625,999,0.1427,999,999,DT
1,41,1241,-95.0186,29.1532,-332.4177,0.37,0.0287,999,56.3551,0.0229,SL
1,41,1242,-95.019,29.1538,-405.0228,3.5869,999,0.4003,999,999,DC
1,41,1242,-95.0189,29.1537,-388.7728,1.9183,999,0.2929,999,999,DT
1,41,1242,-95.0185,29.1532,-331.119,0.37,0.0044,999,57.6538,0.0269,SL
1,41,1243,999,999,999,999,999,999,999,999,DC
1,41,1243,999,999,999,999,999,999,999,999,DT
1,41,1243,-95.0184,29.1533,-329.9737,0.37,0.0014,999,999,999,SL
1,41,1244,-95.0188,29.1539,-402.5228,3.7386,999,0.3581,999,999,DC
1,41,1244,-95.0187,29.1538,-388.7728,1.8296,999,0.2847,999,999,DT
1,41,1244,-95.0183,29.1533,-329.8994,0.37,0.0003,999,58.8734,0.0248,SL
1,41,1245,-95.0187,29.1539,-402.5228,3.5937,999,0.2072,999,999,DC
1,41,1245,-95.0186,29.1538,-388.7728,1.843,999,0.1775,999,999,DT
1,41,1245,-95.0183,29.1534,-330.2128,0.37,0.0038,999,58.56,0.0252,SL
1,41,1246,-95.0186,29.154,-405.0228,3.5996,999,0.2205,999,999,DC
1,41,1246,-95.0185,29.1538,-378.7728,1.3437,999,0.1461,999,999,DT
1,41,1246,-95.0182,29.1535,-330.2251,0.37,0.0117,999,48.5477,0.0201,SL
1,41,1247,-95.0185,29.1541,-405.0228,3.5732,999,0.3106,999,999,DC
1,41,1247,-95.0184,29.1539,-378.7728,1.3386,999,0.1337,999,999,DT
1,41,1247,-95.0181,29.1535,-329.7238,0.37,0.0169,999,49.049,0.0197,SL
1,41,1248,999,999,999,999,999,999,999,999,DC
1,41,1248,999,999,999,999,999,999,999,999,DT
1,41,1248,-95.018,29.1535,-328.5873,0.37,0.0035,999,999,999,SL
1,41,1249,-95.0184,29.1542,-405.0228,3.2956,999,0.34,999,999,DC
1,41,1249,-95.0183,29.154,-386.2728,1.7482,999,0.1716,999,999,DT
1,41,1249,-95.0179,29.1536,-327.4983,0.37,0.0121,999,58.7746,0.0234,SL
1,41,1250,-95.0183,29.1542,-405.0228,3.7152,999,0.3966,999,999,DC
1,41,1250,-95.0182,29.1541,-383.7728,1.6459,999,0.2157,999,999,DT
1,41,1250,-95.0178,29.1536,-326.5313,0.37,0.0196,999,57.2415,0.0223,SL
1,41,1251,999,999,999,999,999,999,999,999,DC
1,41,1251,999,999,999,999,999,999,999,999,DT
1,41,1251,-95.0177,29.1537,-325.9499,0.37,0.0345,999,999,999,SL
1,41,1252,999,999,999,999,999,999,999,999,DC
1,41,1252,999,999,999,999,999,999,999,999,DT
1,41,1252,-95.0176,29.1537,-326.099,0.37,0.0426,999,999,999,SL
1,41,1253,999,999,999,999,999,999,999,999,DC
1,41,1253,999,999,999,999,999,999,999,999,DT
1,41,1253,-95.0176,29.1538,-326.8232,0.37,0.0059,999,999,999,SL
1,41,1254,999,999,999,999,999,999,999,999,DC
1,41,1254,999,999,999,999,999,999,999,999,DT
1,41,1254,-95.0175,29.1539,-327.2759,0.37,0.0027,999,999,999,SL
1,41,1255,-95.0179,29.1545,-405.0228,3.8418,999,0.2613,999,999,DC
1,41,1255,-95.0177,29.1543,-383.7728,1.6331,999,0.2931,999,999,DT
1,41,1255,-95.0174,29.1539,-327.491,0.37,0.0127,999,56.2818,0.0224,SL
1,41,1256,-95.0178,29.1545,-405.0228,3.8362,999,0.3972,999,999,DC
1,41,1256,-95.0177,29.1544,-386.2728,1.8613,999,0.397,999,999,DT
1,41,1256,-95.0173,29.154,-327.8269,0.37,0.0255,999,58.4459,0.0255,SL
1,41,1257,-95.0177,29.1546,-402.5228,3.9851,999,0.3725,999,999,DC
1,41,1257,-95.0176,29.1544,-386.2728,1.8418,999,0.3449,999,999,DT
1,41,1257,-95.0172,29.154,-328.1412,0.37,0.0408,999,58.1316,0.0253,SL
1,41,1258,-95.0176,29.1546,-402.5228,3.9394,999,0.1864,999,999,DC
1,41,1258,-95.0175,29.1545,-388.7728,2.0342,999,0.2376,999,999,DT
1,41,1258,-95.0172,29.1541,-327.7416,0.37,0.032,999,61.0312,0.0273,SL
1,41,1259,-95.0175,29.1547,-402.5228,4.03,999,0.2004,999,999,DC
1,41,1259,-95.0174,29.1545,-386.2728,1.8123,999,0.2498,999,999,DT
1,41,1259,-95.0171,29.1541,-327.3653,0.37,0.0211,999,58.9075,0.0245,SL
1,41,1260,-95.0174,29.1547,-402.5228,4.0243,999,0.2321,999,999,DC
1,41,1260,-95.0173,29.1546,-383.7728,1.6278,999,0.1818,999,999,DT
1,41,1260,-95.017,29.1542,-327.8233,0.37,0.0225,999,55.9495,0.0225,SL
1,41,1261,-95.0174,29.1548,-402.5228,3.8658,999,0.353,999,999,DC
1,41,1261,-95.0172,29.1546,-383.7728,1.6505,999,0.1573,999,999,DT
1,41,1261,-95.0169,29.1542,-327.8037,0.37,0.014,999,55.9691,0.0229,SL
1,41,1262,999,999,999,999,999,999,999,999,DC
1,41,1262,999,999,999,999,999,999,999,999,DT
1,41,1262,-95.0168,29.1543,-327.4396,0.37,0.0012,999,999,999,SL
1,41,1263,999,999,999,999,999,999,999,999,DC
1,41,1263,999,999,999,999,999,999,999,999,DT
1,41,1263,-95.0167,29.1543,-327.2549,0.37,0.001,999,999,999,SL
1,41,1264,999,999,999,999,999,999,999,999,DC
1,41,1264,999,999,999,999,999,999,999,999,DT
1,41,1264,-95.0166,29.1544,-327.0772,0.37,0.0206,999,999,999,SL
1,41,1265,999,999,999,999,999,999,999,999,DC
1,41,1265,999,999,999,999,999,999,999,999,DT
1,41,1265,-95.0166,29.1544,-326.6051,0.37,0.0369,999,999,999,SL
1,41,1266,999,999,999,999,999,999,999,999,DC
1,41,1266,999,999,999,999,999,999,999,999,DT
1,41,1266,-95.0165,29.1545,-326.3479,0.37,0.0001,999,999,999,SL
1,41,1267,999,999,999,999,999,999,999,999,DC
1,41,1267,999,999,999,999,999,999,999,999,DT
1,41,1267,-95.0164,29.1545,-326.6104,0.37,0.0309,999,999,999,SL
1,41,1268,999,999,999,999,999,999,999,999,DC
1,41,1268,999,999,999,999,999,999,999,999,DT
1,41,1268,-95.0163,29.1546,-327.1036,0.37,0.0341,999,999,999,SL
1,41,1269,999,999,999,999,999,999,999,999,DC
1,41,1269,999,999,999,999,999,999,999,999,DT
1,41,1269,-95.0162,29.1546,-326.514,0.37,0.0323,999,999,999,SL
1,41,1270,999,999,999,999,999,999,999,999,DC
1,41,1270,999,999,999,999,999,999,999,999,DT
1,41,1270,-95.0161,29.1547,-325.466,0.37,0.015,999,999,999,SL
1,41,1271,999,999,999,999,999,999,999,999,DC
1,41,1271,999,999,999,999,999,999,999,999,DT
1,41,1271,-95.0161,29.1547,-324.9591,0.37,0.0101,999,999,999,SL
1,41,1272,999,999,999,999,999,999,999,999,DC
1,41,1272,999,999,999,999,999,999,999,999,DT
1,41,1272,-95.016,29.1548,-324.3116,0.37,0.0138,999,999,999,SL
1,41,1273,999,999,999,999,999,999,999,999,DC
1,41,1273,999,999,999,999,999,999,999,999,DT
